id,product_category_name_english,product_category_name_italian,nuova category
1,health_beauty,salute_bellezza,salute_bellezza
2,computers_accessories,informatica_accessori,informatica_elettronica
3,auto,auto,auto
4,bed_bath_table,letto_bagno_tavola,articoli_casalinghi
5,furniture_decor,mobili_decorazione,arredamento
6,sports_leisure,sport_tempo_libero,sport
7,perfumery,profumeria,salute_bellezza
8,housewares,articoli_per_la_casa,articoli_casalinghi
9,telephony,telefonia,telefonia
10,watches_gifts,orologi_regali,accessori_idee_regalo
11,food_drink,cibi_bevande,cibi_bevande
12,baby,neonati,baby
13,stationery,cartoleria,ufficio
14,tablets_printing_image,tablet_stampa_immagine,multimedia
15,toys,giocattoli,giocattoli_videogiochi
16,fixed_telephony,telefonia_fissa,telefonia
17,garden_tools,attrezzi_da_giardino,edilizia_giardino
18,fashion_bags_accessories,moda_borse_accessori,accessori_idee_regalo
19,small_appliances,piccoli_elettrodomestici,elettrodomestici
20,consoles_games,console_videogiochi,giocattoli_videogiochi
21,audio,audio,multimedia
22,fashion_shoes,moda_calzature,abbigliamento
23,cool_stuff,articoli_cool,accessori_idee_regalo
24,luggage_accessories,valigie_accessori,accessori_idee_regalo
25,air_conditioning,climatizzazione,elettrodomestici
26,construction_tools_construction,costruzione_attrezzi_edili,edilizia_giardino
27,kitchen_dining_laundry_garden_furniture,mobili_cucina_lavanderia_sala_giardino,arredamento
28,costruction_tools_garden,attrezzi_da_giardino_costruzione,edilizia_giardino
29,fashion_male_clothing,moda_abbigliamento_uomo,abbigliamento
30,pet_shop,negozio_animali,animali
31,office_furniture,mobili_ufficio,ufficio
32,market_place,marketplace,usato
33,electronics,elettronica,informatica_elettronica
34,home_appliances,elettrodomestici,elettrodomestici
35,party_supplies,articoli_per_feste,seasonal
36,home_confort,casa_comfort,articoli_casalinghi
37,costruction_tools_tools,attrezzi_da_costruzione,edilizia_giardino
38,agro_industry_and_commerce,agroindustria_e_commercio,industria_commercio
39,furniture_mattress_and_upholstery,mobili_materassi_imbottiti,arredamento
40,books_technical,libri_tecnici,libri
41,home_construction,casa_costruzione,edilizia_giardino
42,musical_instruments,strumenti_musicali,multimedia
43,furniture_living_room,mobili_soggiorno,arredamento
44,construction_tools_lights,illuminazione_costruzione,edilizia_giardino
45,industry_commerce_and_business,industria_commercio_affari,industria_commercio
46,food,alimenti,cibi_bevande
47,art,arte,arte_bricolage
48,furniture_bedroom,mobili_camera_da_letto,arredamento
49,books_general_interest,libri_interesse_generale,libri
50,construction_tools_safety,sicurezza_costruzione,edilizia_giardino
51,fashion_underwear_beach,intimo_costumi_da_bagno,abbigliamento
52,fashion_sport,moda_sport,sport
53,signaling_and_security,segnaletica_sicurezza,sicurezza_e_servizi
54,computers,computer,informatica_elettronica
55,christmas_supplies,articoli_natalizi,seasonal
56,fashio_female_clothing,moda_abbigliamento_donna,abbigliamento
57,home_appliances_2,elettrodomestici_2,elettrodomestici
58,books_imported,libri_importati,libri
59,drinks,bevande,cibi_bevande
60,cine_photo,foto_video,multimedia
61,la_cuisine,la_cuisine,articoli_casalinghi
62,music,musica,multimedia
63,home_comfort_2,casa_comfort_2,articoli_casalinghi
64,small_appliances_home_oven_and_coffee,piccoli_elettrodomestici_casa_forno_caffe,elettrodomestici
65,cds_dvds_musicals,cd_dvd_musicali,multimedia
66,dvds_blu_ray,dvd_blu_ray,multimedia
67,flowers,fiori,edilizia_giardino
68,arts_and_craftmanship,arti_e_artigianato,arte_bricolage
69,diapers_and_hygiene,pannolini_igiene,baby
70,fashion_childrens_clothes,moda_abbigliamento_bambini,abbigliamento
71,security_and_services,sicurezza_e_servizi,sicurezza_e_servizi
