pk_product,fk_category,name_length,description_length,imgs_qty,last_updated
a41e356c76fab66334f36de622ecbd3a,1,0,0,0,2025-03-21 14:58:29
d8dee61c2034d6d075997acef1870e9b,1,0,0,0,2025-03-21 14:58:29
51fed4afb1b41d00ad9d25a73b7fbbc7,1,48,303,3,2025-03-21 14:58:29
70d1bd3a042448105a71d0b41ecbc96b,1,56,235,1,2025-03-21 14:58:29
2bfb0bdbcea77da2879f0ef3be9a219e,1,53,439,5,2025-03-21 14:58:29
56139431d72cd51f19eb9f7dae4d1617,1,0,0,0,2025-03-21 14:58:29
46b48281eb6d663ced748f324108c733,1,0,0,0,2025-03-21 14:58:29
5fb61f482620cb672f5e586bb132eae9,1,0,0,0,2025-03-21 14:58:29
7207700449f2433076d70a5b1c004eb4,1,44,421,1,2025-03-21 14:58:29
e10758160da97891c2fdcbc35f0f031d,1,0,0,0,2025-03-21 14:58:29
3519403062e217f433e0bbdc52e0b19f,1,25,211,1,2025-03-21 14:58:29
4bae12e58c9b828e1302a2cad437b80a,1,47,358,3,2025-03-21 14:58:29
39e3b9b12cd0bf8ee681bbc1c130feb5,1,0,0,0,2025-03-21 14:58:29
794de06c32a626a5692ff50e4985d36f,1,0,0,0,2025-03-21 14:58:29
e71ba6dc5ef4b3bada7ee8d17304d31e,1,56,3354,4,2025-03-21 14:58:29
c4344f6de69a96da8febce3f885171f0,1,53,310,1,2025-03-21 14:58:29
7af3e2da474486a3519b0cba9dea8ad9,1,0,0,0,2025-03-21 14:58:29
0d79e2972015716ede4fabeb5b60f8c6,1,50,257,3,2025-03-21 14:58:29
629beb8e7317703dcc5f35b5463fd20e,1,0,0,0,2025-03-21 14:58:29
3a78f64aac654298e4b9aff32fc21818,1,0,0,0,2025-03-21 14:58:29
4c7d111494b1116a2bec5e2d940e3439,1,39,319,4,2025-03-21 14:58:29
bcb815bba008d89458e428078c0b9211,1,0,0,0,2025-03-21 14:58:29
6b82874c6b51b92913dcdb364eaaae0f,1,0,0,0,2025-03-21 14:58:29
c68b419d9c6038271b85bac98adb0fc9,1,0,0,0,2025-03-21 14:58:29
